pais_id,año,basura_id,cantidad
eg,2021,b9,88
sv,2021,b9,0
fi,2021,b9,3
fr,2021,b9,5
de,2021,b9,15
gh,2021,b9,0
gr,2021,b9,29
Guam,2021,b9,0
gt,2021,b9,6
gy,2021,b9,16
hk,2021,b9,211
hu,2021,b9,0
is,2021,b9,0
in,2021,b9,4
id,2021,b9,493
ir,2021,b9,1
ie,2021,b9,8
il,2021,b9,4
it,2021,b9,3
jm,2021,b9,1
jp,2021,b9,10
kz,2021,b9,0
ke,2021,b9,494
mg,2021,b9,0
my,2021,b9,2
Mauritius,2021,b9,697
mx,2021,b9,74
mn,2021,b9,0
mz,2021,b9,90
np,2021,b9,1
nl,2021,b9,2
nz,2021,b9,0
ni,2021,b9,226
ng,2021,b9,130
Northern Mariana Islands,2021,b9,2
no,2021,b9,25
pk,2021,b9,159
pa,2021,b9,228
pe,2021,b9,1
ph,2021,b9,3
pl,2021,b9,5
pt,2021,b9,3
pr,2021,b9,58
ro,2021,b9,8
ru,2021,b9,123
ws,2021,b9,1
sa,2021,b9,0
sn,2021,b9,0
sc,2021,b9,925
sl,2021,b9,0
sg,2021,b9,5
Sint Maarten,2021,b9,337
si,2021,b9,17
za,2021,b9,3
kr,2021,b9,20
es,2021,b9,26
lk,2021,b9,58
St Kitts & Nevis,2021,b9,0
St Lucia,2021,b9,20
se,2021,b9,0
ch,2021,b9,1
tw,2021,b9,2
tz,2021,b9,4
th,2021,b9,1
The Bahamas,2021,b9,85
Tonga,2021,b9,0
tt,2021,b9,27
tr,2021,b9,3
U.S. Virgin Islands,2021,b9,2
ua,2021,b9,20
ae,2021,b9,3
gb,2021,b9,17
Channel Islands,2021,b9,75
England,2021,b9,10
Northern Ireland,2021,b9,343
Scotland,2021,b9,2
Whales,2021,b9,3
us,2021,b9,505
uy,2021,b9,347
vu,2021,b9,216
ve,2021,b9,5
vn,2021,b9,2
Wallis and Futuna,2021,b9,0
Location Not Recorded,2021,b9,43
ax,2020,b9,0
ag,2020,b9,63
ar,2020,b9,0
Aruba,2020,b9,0
au,2020,b9,5
at,2020,b9,0
bd,2020,b9,5
bb,2020,b9,1
bz,2020,b9,40
Bermuda,2020,b9,1
Bonaire,2020,b9,1
br,2020,b9,46
vg,2020,b9,0
bn,2020,b9,108
bi,2020,b9,0
cm,2020,b9,1
ca,2020,b9,75
ky,2020,b9,0
cl,2020,b9,991
cn,2020,b9,4
co,2020,b9,285
cr,2020,b9,0
hr,2020,b9,0
cy,2020,b9,158
dk,2020,b9,144
do,2020,b9,111
eg,2020,b9,0
ee,2020,b9,0
fi,2020,b9,0
fr,2020,b9,4
de,2020,b9,4
gh,2020,b9,221
gr,2020,b9,237
gd,2020,b9,1
Guam,2020,b9,18
gt,2020,b9,0
gy,2020,b9,2
hk,2020,b9,137
in,2020,b9,145
id,2020,b9,13
ie,2020,b9,154
il,2020,b9,3
it,2020,b9,10
jm,2020,b9,456
jp,2020,b9,4
ke,2020,b9,16
kw,2020,b9,14
Macao,2020,b9,1
mw,2020,b9,36
my,2020,b9,23
Maldives,2020,b9,0
Mauritius,2020,b9,1
mx,2020,b9,8
Montserrat,2020,b9,0
ma,2020,b9,1
mz,2020,b9,116
nl,2020,b9,102
nz,2020,b9,0
ni,2020,b9,1
ng,2020,b9,20
Northern Mariana Islands,2020,b9,1
no,2020,b9,2
om,2020,b9,0
pa,2020,b9,0
pe,2020,b9,115
ph,2020,b9,14
pl,2020,b9,0
pt,2020,b9,18
pr,2020,b9,12
ru,2020,b9,15
sa,2020,b9,16
sn,2020,b9,0
sc,2020,b9,0
sl,2020,b9,162
sg,2020,b9,1
Sint Eustatius,2020,b9,0
Sint Maarten,2020,b9,6
za,2020,b9,6
kr,2020,b9,16
es,2020,b9,15
lk,2020,b9,2
St Kitts & Nevis,2020,b9,60
St Lucia,2020,b9,0
sr,2020,b9,9
se,2020,b9,132
tw,2020,b9,6
tz,2020,b9,254
th,2020,b9,1
The Bahamas,2020,b9,34
tt,2020,b9,758
tr,2020,b9,10
Turks and Caicos Islands,2020,b9,0
U.S. Virgin Islands,2020,b9,2
ua,2020,b9,27
ae,2020,b9,151
gb,2020,b9,6
Channel Islands,2020,b9,18
England,2020,b9,5
Northern Ireland,2020,b9,19
Scotland,2020,b9,750
Wales,2020,b9,325
us,2020,b9,377
uy,2020,b9,9
vu,2020,b9,61
ve,2020,b9,24
vn,2020,b9,295
Location Not Recorded,2020,b9,47
ax,2023,b3,0
ag,2023,b3,58
ar,2023,b3,68
au,2023,b3,112
at,2023,b3,0
bs,2023,b3,1
bd,2023,b3,89
bb,2023,b3,3
be,2023,b3,2
bz,2023,b3,4
Bermuda,2023,b3,2
Bonaire,2023,b3,1
bw,2023,b3,0
br,2023,b3,1
vg,2023,b3,618
bn,2023,b3,3
kh,2023,b3,2
cm,2023,b3,13
ca,2023,b3,5
ky,2023,b3,14
cl,2023,b3,5
cn,2023,b3,1
co,2023,b3,149
cr,2023,b3,141
hr,2023,b3,0
cu,2023,b3,0
cy,2023,b3,46
cz,2023,b3,6
dk,2023,b3,2
do,2023,b3,256
ec,2023,b3,27
eg,2023,b3,0
fj,2023,b3,0
fi,2023,b3,0
fr,2023,b3,152
pf,2023,b3,12
gm,2023,b3,5
de,2023,b3,266
gh,2023,b3,2
gr,2023,b3,5
gd,2023,b3,80
Guam,2023,b3,1
gt,2023,b3,100
gy,2023,b3,981
hn,2023,b3,26
hk,2023,b3,440
hu,2023,b3,0
in,2023,b3,244
id,2023,b3,4
ie,2023,b3,3
il,2023,b3,163
it,2023,b3,942
jm,2023,b3,199
jp,2023,b3,6
jo,2023,b3,0
ke,2023,b3,4
ki,2023,b3,0
kw,2023,b3,0
lv,2023,b3,18
lt,2023,b3,6
mw,2023,b3,2
my,2023,b3,60
Maldives,2023,b3,266
Malta,2023,b3,5
mx,2023,b3,7
me,2023,b3,0
ma,2023,b3,273
mz,2023,b3,174
Myanmar (Burma),2023,b3,0
np,2023,b3,1
nl,2023,b3,9
nz,2023,b3,210
ni,2023,b3,2
ng,2023,b3,1
Northern Mariana,2023,b3,629
Islands,2023,b3,0
no,2023,b3,552
pk,2023,b3,1
pa,2023,b3,4
pe,2023,b3,4
ph,2023,b3,243
pl,2023,b3,183
pt,2023,b3,997
pr,2023,b3,27
Saba,2023,b3,25
ws,2023,b3,287
sa,2023,b3,21
sc,2023,b3,699
sl,2023,b3,0
sg,2023,b3,1
Sint Eustatius,2023,b3,166
Sint Maarten,2023,b3,2
si,2023,b3,44
sb,2023,b3,967
za,2023,b3,133
kr,2023,b3,2
es,2023,b3,2
lk,2023,b3,6
St Kitts & Nevis,2023,b3,1
St Lucia,2023,b3,4
St Vincent and the Grenadines,2023,b3,995
se,2023,b3,2
ch,2023,b3,99
tw,2023,b3,36
tz,2023,b3,2
th,2023,b3,5
Tonga,2023,b3,486
tt,2023,b3,69
tr,2023,b3,282
U.S. Virgin Islands,2023,b3,1
ug,2023,b3,549
ae,2023,b3,2
gb,2023,b3,1
us,2023,b3,99
uy,2023,b3,41
vu,2023,b3,168
ve,2023,b3,41
vn,2023,b3,1
Wallis and Futuna,2023,b3,118
ax,2022,b3,0
ao,2022,b3,3
ag,2022,b3,341
au,2022,b3,1
bs,2022,b3,2
bd,2022,b3,7
bb,2022,b3,3
bz,2022,b3,5
Bermuda,2022,b3,1
Bonaire,2022,b3,2
br,2022,b3,1
vg,2022,b3,1
bn,2022,b3,1
cm,2022,b3,21
ca,2022,b3,8
ky,2022,b3,3
cl,2022,b3,7
cn,2022,b3,441
co,2022,b3,5
cr,2022,b3,64
hr,2022,b3,0
Curaçao,2022,b3,672
cy,2022,b3,0
do,2022,b3,240
ec,2022,b3,23
eg,2022,b3,14
fi,2022,b3,0
fr,2022,b3,366
gm,2022,b3,3
de,2022,b3,12
gh,2022,b3,34
gr,2022,b3,8
Guam,2022,b3,2
Guernsey,2022,b3,4
hk,2022,b3,803
is,2022,b3,39
in,2022,b3,76
id,2022,b3,395
ie,2022,b3,1
il,2022,b3,113
it,2022,b3,104
jm,2022,b3,138
jp,2022,b3,5
ke,2022,b3,50
kw,2022,b3,0
my,2022,b3,59
Maldives,2022,b3,1
Malta,2022,b3,2
mr,2022,b3,0
Mauritius,2022,b3,444
mx,2022,b3,10
ma,2022,b3,0
nl,2022,b3,31
nz,2022,b3,0
ni,2022,b3,3
ng,2022,b3,5
Northern Mariana Islands,2022,b3,933
no,2022,b3,1
om,2022,b3,537
pa,2022,b3,5
pe,2022,b3,11
ph,2022,b3,166
pl,2022,b3,1
pt,2022,b3,620
pr,2022,b3,26
ro,2022,b3,0
ws,2022,b3,1
sc,2022,b3,280
sl,2022,b3,239
sg,2022,b3,2
Sint Eustatius,2022,b3,0
Sint Maarten,2022,b3,4
sb,2022,b3,2
za,2022,b3,486
kr,2022,b3,9
es,2022,b3,1
lk,2022,b3,18
St Kitts & Nevis,2022,b3,1
St Lucia,2022,b3,865
St Vincent and the Grenadines,2022,b3,318
se,2022,b3,2
tw,2022,b3,35
tz,2022,b3,2
th,2022,b3,27
tt,2022,b3,16
tr,2022,b3,508
U.S. Virgin Islands,2022,b3,1
ug,2022,b3,938
ae,2022,b3,2
gb,2022,b3,2
us,2022,b3,116
uy,2022,b3,123
vu,2022,b3,487
ve,2022,b3,45
vn,2022,b3,2
Wallis and Futuna,2022,b3,136
dz,2021,b3,0
American ws,2021,b3,522
ag,2021,b3,152
ar,2021,b3,1
Aruba,2021,b3,0
au,2021,b3,1
az,2021,b3,2
bd,2021,b3,3
bz,2021,b3,468
Bermuda,2021,b3,12
Bonaire,2021,b3,0
br,2021,b3,2
vg,2021,b3,717
bg,2021,b3,12
kh,2021,b3,17
cm,2021,b3,0
ca,2021,b3,9
cl,2021,b3,6
cn,2021,b3,2
co,2021,b3,1
cr,2021,b3,54
hr,2021,b3,4
cy,2021,b3,161
cz,2021,b3,2
dk,2021,b3,0
do,2021,b3,18
ec,2021,b3,18
eg,2021,b3,14
sv,2021,b3,7
fi,2021,b3,1
fr,2021,b3,578
de,2021,b3,198
gh,2021,b3,0
gr,2021,b3,4
Guam,2021,b3,49
gt,2021,b3,29
gy,2021,b3,5
hk,2021,b3,550
hu,2021,b3,2
is,2021,b3,5
