País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Kenya;2023;3.613;17.709,0;82,3;39.738;282;4.035;10.712;9.485;530;775;1.091;;;;1.143;855
Kiribati;2023;11;172,0;0,2;—;—;—;—;—;—;—;—;;;;—;
Kuwait;2023;1;0,5;0,2;—;—;—;—;—;—;—;—;;;;—;
Latvia;2023;5;14,0;2,5;174;6;18;2;11;8;10;;;;;12;5
Lithuania;2023;84;35,0;1,4;576;163;6;20;31;28;42;9;;;;10;17
Malawi;2023;259;590,0;0,8;9.684;;2.063;2.110;720;366;61;185;;;;88;106
Malaysia;2023;14.394;48.346,0;1.540,1;373.547;53.383;60.023;20.219;15.364;21.245;23.243;12.157;;;;5.909;18.247
Maldives;2023;11;71,0;0,2;332;;266;;20;4;;;;;;;0
Malta;2023;353;16.762,0;2,3;824;501;5;15;;22;;13;;;;3;6
Mexico;2023;5.108;45.753,0;424,9;94.556;12.822;7.458;8.100;3.253;4.747;2.798;1.444;;;;862;2.308
Montenegro;2023;59;60,0;0,2;—;—;—;—;—;—;—;—;;;;—;
Morocco;2023;873;12.440,0;9,9;2.557;325;273;301;168;126;176;114;;;;40;219
Mozambique;2023;569;107.809,0;31,1;2.714;131;174;267;77;51;75;90;;;;11;58
Myanmar (Burma);2023;2;0,5;0,2;—;—;—;—;—;—;—;—;;;;—;
Nepal;2023;1;0,5;0,2;12;;1;1;;2;;3;;;;;1
Netherlands;2023;78;637,0;21,9;650;52;9;11;62;8;27;13;;;;1;10
New Zealand;2023;2.299;1.798,0;10,0;56.721;1.549;210;2.830;3.536;11;513;536;;;;673;227
Nicaragua;2023;150;833,0;11,9;6.551;1;2.165;935;147;172;6;6;;;;26;48
Nigeria;2023;175;2.387,0;1,1;18.844;563;1.281;752;1.432;1.448;928;600;;;;683;1.334
Northern Mariana;2023;809;1.715,0;67,1;11.479;1.586;629;554;804;560;644;174;;;;277;234
Islands;2023;;;;;;;;;;;;;;;;0
Norway;2023;18.929;244.972,0;1.003,7;47.098;10.060;552;11;2.693;412;401;367;;;;551;13
Pakistan;2023;1;65,0;0,2;33;3;1;2;;;1;;;;;;0
Panama;2023;411;2.512,0;20,3;14.039;51;4.797;658;182;362;173;29;;;;61;68
Peru;2023;3.909;193.694,0;39,4;54.927;4.824;4.408;3.852;16.418;2.473;2.815;479;;;;3.753;3.277
Philippines;2023;129.154;444.869,0;1.042,6;2.629.863;78.780;243.163;108.860;263.375;340.115;211.739;87.679;;;;37.831;189.206
Poland;2023;36;478,0;33,2;2.049;9;183;54;83;133;145;6;;;;9;62
Portugal;2023;584;949,0;73,5;26.122;8.727;997;583;1.341;360;315;463;;;;295;278
Puerto Rico;2023;15.746;83.809,0;1.218,0;330.520;37.649;27.315;28.383;9.868;5.277;10.976;20.164;;;;2.038;18.223
Saba;2023;11;29,0;0,7;64;;25;3;;1;1;;;;;;0
Samoa;2023;180;826,0;0,2;2.163;;287;20;;237;222;8;;;;64;25
