País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Mexico;2021;17.696;166.501,0;3.820,7;2.954.892;74.146;279.252;104.114;802.381;186.358;;52.435;335.177;125.187;68.727;;80.269
Mongolia;2021;1;1,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
Mozambique;2021;75;1.216,0;30,0;4.957;90;359;699;15;106;;91;—;159;130;;125
Nepal;2021;1;1,0;0,1;20;1;2;2;1;1;;—;—;2;1;;1
Netherlands;2021;189;185,0;52,1;6.309;2.061;267;70;418;178;;166;675;85;379;;160
New Zealand;2021;4;4,0;0,1;40;—;—;3;6;—;;—;5;3;—;;
Nicaragua;2021;306;1.282,0;7,0;22.683;226;7.140;7.718;785;1.431;;742;437;212;82;;520
Nigeria;2021;102;648,0;3,6;8.576;130;956;1.182;188;199;;263;—;187;331;;326
Northern Mariana Islands;2021;542;531,0;85,8;13.148;2.221;566;515;723;373;;242;108;133;1.459;;182
Norway;2021;22.867;390.008,0;2,3;108.795;25.562;4.182;6.524;7.042;1.218;;734;473;1.264;15;;78
Pakistan;2021;106;21,0;0,1;333;159;24;1;5;3;;32;—;4;2;;4
Panama;2021;536;2.138,0;127,7;33.143;228;12.658;2.125;659;1.044;;211;2.723;1.230;1.101;;618
Peru;2021;2.685;34.672,0;567,6;101.981;1.914;2.238;2.285;6.842;3.818;;606;1.033;735;737;;1.447
Philippines;2021;4.855;147.946,0;232,0;103.704;3.505;6.323;3.396;9.322;4.988;;2.172;28.958;2.506;1.496;;2.532
Poland;2021;6;2,0;0,4;52;5;4;—;7;—;;;3;—;12;;1
Portugal;2021;673;957,0;14,6;8.420;3.659;194;152;267;184;;148;783;304;201;;74
Puerto Rico;2021;6.137;21.167,0;642,4;423.592;58.207;27.946;34.587;15.391;8.669;;28.590;36.623;16.498;14.426;;17.730
Romania;2021;1;0,0;0,0;28;8;2;—;1;2;;—;—;—;—;;1
Russia;2021;20;98,0;8,2;769;123;15;76;77;17;;15;6;20;9;;9
Samoa;2021;124;586,0;3,0;16.145;1.066;1.500;1.276;1.031;3.856;;—;—;284;1.081;;1.392
Saudi Arabia;2021;2;1,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
Senegal;2021;21;50,0;0,2;410;—;73;3;7;14;;—;73;23;71;;8
Seychelles;2021;271;161,0;455,4;8.758;925;377;783;734;91;;278;146;93;67;;76
Sierra Leone;2021;50;431,0;2,4;25;—;—;—;—;—;;—;—;—;—;;
Singapore;2021;611;2.067,0;40,9;21.698;5.152;706;705;1.871;1.440;;1.181;1.253;203;262;;398
Sint Maarten;2021;222;1.247,0;21,2;9.444;337;1.708;383;287;915;;240;809;982;345;;200
Slovenia;2021;104;91,0;9,6;21.692;17.222;77;151;328;137;;113;—;28;91;;84
South Africa;2021;1.442;3.388,0;89,4;39.147;3.964;1.870;3.538;3.728;966;;2.504;201;1.348;527;;461
South Korea;2021;3.994;12.325,0;1.074,1;108.526;20.793;4.824;3.137;4.454;5.882;;4.098;11.127;2.518;2.906;;1.941
Spain;2021;1.878;6.455,0;110,9;78.325;26.027;2.763;4.334;3.544;2.377;;1.286;1.035;1.549;4.417;;1.449
Sri Lanka;2021;12;49,0;1,0;691;58;114;13;76;25;;16;—;43;148;;3
St Kitts & Nevis;2021;12;19,0;1,6;428;—;95;27;21;30;;20;20;30;16;;25
St Lucia;2021;149;449,0;2,7;4.731;20;672;577;405;406;;116;138;112;71;;363
Sweden;2021;9;7,0;0,1;—;—;—;—;—;—;;—;—;—;—;;
Switzerland;2021;2;1,0;0,1;1;1;—;—;—;—;;—;—;—;—;;
Taiwan;2021;4.691;13.414,0;36,5;91.419;2.674;23.780;20.728;1.912;4.030;;7.024;70;5.425;2.384;;3.975
Tanzania;2021;5.018;44.069,0;17,4;46.512;4.356;7.237;4.745;12.024;2.797;;586;—;1.490;417;;1.142
Thailand;2021;3.507;21.973,0;63,7;278.359;1.046;43.544;3.746;17.305;35.449;;3.703;2.087;24.343;4.783;;4.206
The Bahamas;2021;197;810,0;24,7;11.395;85;1.192;589;360;265;;149;97;1.204;873;;456
Tonga;2021;147;72,0;1,0;1;—;—;—;—;—;;—;—;—;—;;
Trinidad and Tobago;2021;36;550,0;1,8;15.090;27;13.878;104;94;163;;8;94;251;26;;95
Turkey;2021;801;2.834,0;41,0;8.500;3.176;99;237;170;72;;10;—;163;36;;78
U.S. Virgin Islands;2021;410;1.350,0;33,4;31.293;2.499;1.624;3.167;1.793;414;;1.350;398;1.403;617;;704
Ukraine;2021;3;6,0;0,0;52;20;5;—;5;10;;3;1;1;—;;1
United Arab Emirates;2021;517;1.962,0;40,2;18.006;3.203;3.107;1.589;800;545;;201;390;746;647;;650
United Kingdom;2021;6.586;6.499,0;102,0;130.610;17.403;2.993;8.447;14.568;1.882;;1.262;120;1.380;2.748;;2.737
Channel Islands;2021;53;13,0;0,4;318;75;—;20;18;1;;3;—;—;1;;2
England;2021;4.095;3.272,0;67,3;85.680;10.988;1.564;5.768;10.020;1.310;;880;98;700;1.290;;2.159
Northern Ireland;2021;74;116,0;0,5;3.093;343;126;359;354;21;;38;0;42;80;;13
Scotland;2021;1.828;2.780,0;30,0;30.377;2.913;1.101;1.570;3.415;462;;217;21;534;1.187;;360
Whales;2021;536;319,0;4,0;11.142;3.084;202;730;761;88;;124;1;104;190;;203
United States;2021;133.027;1.082.103,0;14.658,0;2.966.725;505.035;126.162;224.444;274.030;67.489;;91.988;147.919;55.703;94.353;;46.233
Uruguay;2021;2.000;5.000,0;100,0;10.814;347;1.108;484;1.624;1.262;;182;1.474;665;312;;315
Vanuatu;2021;88;336,0;5,1;8.826;216;846;606;2.563;75;;173;—;212;869;;144
Venezuela;2021;1.849;5.670,0;95,5;90.054;5.672;7.133;6.310;6.457;3.678;;3.848;110;3.138;1.693;;4.782
Vietnam;2021;4;1,0;0,0;26;2;2;—;1;1;;2;—;2;—;;5
Wallis and Futuna;2021;228;4.794,0;7,0;13.098;—;6.896;—;—;413;;—;—;497;3.847;;
Location Not Recorded;2021;14.324;37.634,0;268,2;319.444;43.392;32.008;21.163;20.199;15.957;;10.931;25.633;9.512;9.341;;8.747
Åland Islands;2020;181;2.435,0;1.000,0;1.000;—;—;—;—;—;;—;—;—;—;;
Antigua and Barbuda;2020;261;1.955,0;11,6;6.490;63;1.241;548;370;191;;167;392;682;329;102;
Argentina;2020;60;338,0;0,1;1;0;0;0;0;0;;0;0;0;0;0;
Aruba;2020;3;24,0;0,1;1;0;0;0;0;0;;0;0;0;0;0;
Australia;2020;1.308;3.308,0;185,7;68.971;5.555;1.608;20;8.826;465;;1.912;208;1.432;1.836;48;
Austria;2020;4;5,0;0,2;2;—;—;—;—;—;;—;—;—;—;;
Bangladesh;2020;560;870,0;3,2;23.725;5.132;1.170;560;7.890;459;;1.232;0;54;67;1.780;
Barbados;2020;809;2.357,0;47,3;51.142;1.328;2.915;6.900;3.004;635;;821;0;1.298;484;472;
Belize;2020;34;594,0;2,8;1.891;40;58;174;134;54;;48;390;44;16;12;
Bermuda;2020;400;3.400,0;41,5;26.964;1.601;1.230;1.691;812;244;;166;125;2.395;697;259;
Bonaire;2020;17;6,0;0,3;1.829;1.036;3;61;34;15;;55;0;11;6;0;
Brazil;2020;108;131,0;11,7;2.370;46;281;185;188;101;;52;315;43;48;41;
British Virgin Islands;2020;9;65,0;0,7;1.023;0;170;20;30;22;;8;84;168;90;22;
Brunei;2020;545;1.297,0;112,1;7.583;108;2.816;400;293;346;;126;444;173;239;315;
Burundi;2020;25;68,0;0,1;1;—;—;—;—;—;;—;—;—;—;;
Cameroon;2020;121;273,0;1,1;61.619;1.001;1.311;12.333;3.002;0;;0;0;432;311;30.231;
Canada;2020;10.129;35.569,0;1.530,3;243.555;75.541;6.195;10.316;18.470;6.920;;4.098;530;2.807;8.562;2.029;
Cayman Islands;2020;24;16,0;5,1;180;0;15;50;1;9;;1;3;2;4;2;
Chile;2020;21;21,0;0,7;1.699;991;10;48;111;41;;29;99;9;11;14;
China;2020;3;21,0;0,4;75;4;3;5;4;5;;5;3;4;1;4;
Colombia;2020;158;11.622,0;22,1;23.437;285;4.970;1.302;3.261;673;;590;0;577;228;1.000;
Costa Rica;2020;60;419,0;0,1;1;—;—;—;—;—;;—;—;—;—;;
Croatia;2020;15;180,0;0,3;110;0;10;0;0;17;;0;0;46;0;0;
Cyprus;2020;2.021;12.136,0;0,3;1.422;158;87;0;16;6;;31;0;115;100;5;
Denmark;2020;7;33,0;0,7;705;144;0;13;126;7;;9;43;3;5;7;
Dominican Republic;2020;177;634,0;3,9;4.687;111;289;157;77;117;;123;300;208;135;115;
Egypt;2020;94;587,0;2,0;2;—;—;—;—;—;;—;—;—;—;;
Estonia;2020;40;2.193,0;8,0;68;—;—;—;—;—;;—;—;—;—;;
Finland;2020;94;11.977,0;5,9;14;0;0;0;0;1;;0;0;0;0;0;
France;2020;6;2,0;0,9;28;4;1;0;3;2;;4;0;1;0;0;
Germany;2020;369;83,0;5.907,7;7.115;4.229;26;81;462;64;;80;28;80;29;49;
Ghana;2020;1.615;24.964,0;12,2;1.882.390;221.001;170.987;17.127;32.506;11.582;;37.540;0;653;770;34.487;
Greece;2020;2.318;21.000,0;83,0;103.548;237;175;226;70;105;;150;256;18;61;19;
Grenada;2020;148;1.113,0;12,0;17.523;1.019;4.231;869;1.348;242;;202;2;671;653;105;
Guam;2020;78;126,0;18,3;4.593;18;129;1.388;101;41;;24;292;16;119;3;
Guatemala;2020;14;55,0;1,8;871;0;247;199;2;0;;16;6;174;1;24;
Guyana;2020;35;449,0;0,7;6.165;2;3.856;889;50;50;;2;0;599;143;12;
Hong Kong;2020;186;1.189,0;7,9;11.872;137;489;1.318;1.088;195;;608;131;44;98;308;
India;2020;211;1.727,0;4,8;1.485;145;64;276;160;37;;36;11;15;12;65;
Indonesia;2020;4.350;27.792,0;182,9;64.845;13.026;4.870;2.855;7.321;4.435;;4.457;4.246;1.324;990;2.739;
Ireland;2020;117;531,0;60,3;2.397;154;199;90;197;67;;10;219;42;202;72;
Israel;2020;12.206;6.898,0;26,2;9.999;3.722;432;396;947;1.192;;57;239;31;112;305;
Italy;2020;1.301;9.736,0;60,6;23.373;10.110;1.193;820;777;234;;270;1.889;585;514;365;
Jamaica;2020;434;4.436,0;24,1;53.575;456;16.821;8.618;2.789;2.430;;451;2.555;2.473;1.202;918;
Japan;2020;4.152;8.595,0;78,5;82.055;4.774;4.746;4.194;3.670;1.721;;1.102;304;1.546;2.255;3.946;
Kenya;2020;4.409;59.834,0;139,3;197.143;16.856;33.661;35.675;45.984;1.725;;4.324;1.162;4.372;1.780;5.049;
Kuwait;2020;8;13,0;1,1;88;14;9;1;5;5;;1;3;2;3;11;
Macao;2020;21;38,0;0,3;377;1;45;10;8;0;;1;0;22;4;10;
Malawi;2020;15;49,0;7,3;1.146;36;104;224;17;52;;25;49;150;20;9;
Malaysia;2020;4.000;16.413,0;309,2;175.619;23.797;30.291;10.008;13.858;9.730;;7.090;7.426;2.932;4.333;5.643;
Maldives;2020;5;4,0;0,4;5;0;0;0;0;0;;0;0;0;0;0;
Mauritius;2020;843;1.057,0;3,5;24.324;1.815;6.359;2.286;2.064;117;;111;13;450;3.622;159;
Mexico;2020;3.348;8.781,0;99,4;66.083;8.969;5.612;5.426;2.537;2.934;;871;3.091;2.228;1.834;1.042;
Montserrat;2020;33;613,0;2,9;1.285;0;394;134;0;3;;0;0;2;11;1;
Morocco;2020;29;507,0;2,1;1.643;1.000;0;200;19;0;;0;0;0;0;0;
Mozambique;2020;163;1.830,0;40,0;14.792;116;820;2.806;127;64;;62;0;398;166;51;
Netherlands;2020;9;96,0;6,9;466;102;48;7;26;49;;9;13;11;82;8;
New Zealand;2020;22;54,0;0,8;180;0;7;2;35;8;;6;27;6;4;5;
Nicaragua;2020;478;1.316,0;14,5;41.728;1.266;9.327;5.590;2.859;3.634;;1.001;1.831;521;462;482;
Nigeria;2020;257;4.346,0;5,8;4.094;20;588;597;437;388;;65;764;29;26;66;
Northern Mariana Islands;2020;971;4.126,0;103,9;14.025;1.565;786;640;926;654;;206;320;269;2.267;321;
Norway;2020;17.477;517.764,0;2.657,0;90.031;2.596;4.901;2.561;4.009;1.948;;784;39;1.182;11.102;1.322;
Oman;2020;1;1,0;0,1;1;—;—;—;—;—;;—;—;—;—;;
Panama;2020;98;2.558,0;0,3;4;0;0;0;0;0;;0;0;0;0;0;
Peru;2020;120;232,0;4,9;2.746;115;241;131;169;189;;27;81;105;69;32;
Philippines;2020;6.228;71.329,0;255,3;934.219;14.705;56.554;29.751;113.402;86.114;;38.816;260.204;16.917;20.379;51.650;
Poland;2020;13;73,0;7,3;69;0;0;6;14;2;;2;3;1;0;0;
Portugal;2020;634;1.925,0;28,9;53.781;18.892;410;1.165;2.006;204;;531;176;274;193;229;
Puerto Rico;2020;1.968;8.219,0;9.730,2;119.635;12.011;8.076;8.732;4.563;2.332;;7.728;8.618;6.026;5.054;1.962;
Russia;2020;429;4.007,0;11,9;330;15;0;10;14;0;;5;0;11;1;0;
Saudi Arabia;2020;6;13,0;1,1;57;16;8;2;2;2;;0;2;2;3;2;
Senegal;2020;73;211,0;1,5;2.208;0;517;0;426;313;;1;154;48;214;28;
Seychelles;2020;34;54,0;59,9;396;0;97;3;3;0;;3;0;3;11;0;
Sierra Leone;2020;3.513;848,0;2,6;2.319;162;150;51;62;145;;122;114;113;97;49;
Singapore;2020;184;1.224,0;68,6;6.712;1.282;62;202;299;109;;275;259;42;35;96;
Sint Eustatius;2020;165;678,0;7,9;1;—;—;—;—;—;;—;—;—;—;;
Sint Maarten;2020;6;129,0;1,0;474;6;142;3;8;7;;1;17;51;5;2;
South Africa;2020;6.346;20.113,0;358,6;124.830;6.538;9.171;13.067;6.673;2.646;;8.915;304;2.771;1.448;1.585;
South Korea;2020;2.441;80.901,0;258,1;105.795;16.991;3.567;2.230;3.724;5.758;;1.699;16.942;2.237;2.810;2.046;
Spain;2020;985;4.348,0;16,9;86.583;15.403;1.471;3.299;2.434;1.179;;938;332;584;1.702;799;
Sri Lanka;2020;3.067;23.819,0;91,5;114.070;2.895;27.400;5.781;13.132;7.990;;2.793;0;9.770;2.316;1.489;
St Kitts & Nevis;2020;225;1.224,0;15,2;9.284;60;2.501;1.061;399;397;;219;241;390;311;87;
St Lucia;2020;15;561,0;0,1;1;—;—;—;—;—;;—;—;—;—;;
Suriname;2020;12;67,0;7,0;420;9;260;65;0;0;;0;0;15;35;0;
Sweden;2020;2.633;55.281,0;286,5;6.802;132;360;154;260;78;;58;0;97;81;33;
Taiwan;2020;10.246;19.818,0;21.125,6;129.675;6.875;27.969;28.106;3.600;5.746;;9.279;0;7.113;1.813;6.475;
Tanzania;2020;3.316;26.445,0;7,3;10.625;254;2.239;1.773;951;649;;634;0;681;401;312;
Thailand;2020;4.889;12.095,0;54,2;123.867;1.238;11.719;3.981;7.196;14.177;;4.079;1.843;6.933;527;3.779;
The Bahamas;2020;22;251,0;8,6;2.677;34;311;326;64;58;;61;0;198;155;39;
Trinidad and Tobago;2020;67;599,0;9,5;23.140;758;2.060;755;685;759;;909;1.141;1.180;1.276;1.214;
Turkey;2020;1.047;1.405,0;19,9;18.016;10.707;257;604;450;289;;64;0;430;130;613;
Turks and Caicos Islands;2020;42;139,0;0,2;3;—;—;—;—;—;;—;—;—;—;;
U.S. Virgin Islands;2020;249;536,0;10,5;12.547;2.762;516;1.078;511;95;;365;116;487;341;216;
Ukraine;2020;25;9,0;0,2;70;27;6;0;0;0;;0;3;7;0;0;
United Arab Emirates;2020;41;397,0;34,0;3.772;151;822;798;127;126;;38;55;254;220;101;
United Kingdom;2020;1.902;7.897,0;44,7;151.274;6.847;2.450;6.994;10.954;1.589;;57;75;567;1.713;2.457;
Channel Islands;2020;53;12,0;1,1;503;18;9;8;17;1;;0;0;0;4;3;
England;2020;1.153;2.369,0;28,6;113.653;5.735;1.505;5.351;8.080;1.241;;55;71;431;990;2.077;
Northern Ireland;2020;44;3.110,0;0,2;2.438;19;238;313;161;11;;2;4;4;131;21;
Scotland;2020;499;2.286,0;11,7;27.954;750;594;934;2.267;316;;0;0;111;516;326;
Wales;2020;153;121,0;3,1;6.726;325;104;388;429;20;;0;0;21;72;30;
United States;2020;81.667;1.163.997,0;34.099,8;2.078.833;377.460;87.982;129.885;185.163;66.830;;60.876;160.032;44.707;64.862;38.664;
Uruguay;2020;1.923;5.444,0;49,4;52.796;9.483;3.114;4.301;2.869;2.965;;1.104;28;1.080;1.056;1.176;
Vanuatu;2020;72;375,0;1,8;4.724;61;657;43;756;73;;56;77;78;335;46;
Venezuela;2020;2;52,0;0,5;824;24;14;77;30;32;;307;58;0;9;4;
Vietnam;2020;337;2.529,0;6,5;25.701;295;340;717;989;1.226;;748;4;135;90;640;
Location Not Recorded;2020;9.242;33.733,0;184,5;421.361;47.982;49.771;24.408;40.548;16.284;;14.422;40.707;11.599;9.012;12.410;
